species,crownclass,age,dbh,height,volume
5,1,28,13.7,14.02,0.0621
5,1,64,21.5,19.6,0.2734
5,1,79,24.1,23.77,0.4533
5,1,76,27.9,23.77,0.593
5,1,78,28.4,24.38,0.6415
5,1,66,29,20.5,0.4369
5,1,70,31.2,20.73,0.612
5,1,109,33,20,0.6834
5,1,102,36.1,21.34,0.8052
5,2,24,12.6,12.6,0.0304
5,2,63,13.3,13.01,0.0771
5,2,74,16.5,17.8,0.132
5,2,103,18.9,12.9,0.149
5,2,85,19.6,19.22,0.245
5,2,95,21.7,11.6,0.1248
5,2,92,23,18.8,0.3022
5,2,79,25.7,18.9,0.2489
5,2,82,26.2,24.99,0.5498
5,2,86,27.4,23.1,0.5884
5,2,96,32.4,22.4,0.6364
5,3,57,13.2,11.9,0.0423
5,3,26,15.7,13.5,0.0758
5,3,74,17.5,13.72,0.0839
5,3,37,18.7,19.1,0.1798
5,3,80,29.2,20.6,0.5723
5,3,77,30.7,18,0.4778
5,3,81,32.3,19.8,0.5814
5,3,76,37.5,19.8,0.8668
5,3,120,43.2,26.8,1.4723
5,3,79,46.7,21.1,1.2994
